order_id,order_date,origin_port,carrier,TPT,service_level,ship_ahead_day_count,ship_late_day_count,customer,product_id,plant_code,destination_port,unit_quantity,weight
1447219953,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1699772,PLANT03,PORT09,538,2.783735104
1447219954,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1699772,PLANT03,PORT09,335,0.115988963
1447219953,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1699772,PLANT03,PORT09,538,2.783735104
1447284492,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1699772,PLANT03,PORT09,782,5.799448134
1447243311,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1699772,PLANT03,PORT09,475,2.656147245
1447273497,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1699772,PLANT03,PORT09,1800,17.52
1447371545,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,559,2.802368888
1447328087,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,355,0.99438896
1447304478,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,982,6.418328744
1447219957,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,490,1.545822838
1447322249,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,954,6.327929748
1447371519,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,473,1.717580931
1447376498,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,330,0.180797993
1447286457,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,1749,13.19825347
1447350389,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,1001,6.327929748
1447269494,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,322,0.424875283
1447288283,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,1305,8.868141546
1447231113,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,498,1.807979928
1447209562,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,869,4.971944802
1447392939,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,320,0.723191971
1447231157,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,2126,17.27181935
1447359790,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,936,6.237530751
1447304484,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,765,4.058914938
1447261909,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1695349,PLANT03,PORT09,420,1.102867756
1447201692,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1696074,PLANT03,PORT09,1288,8.879148422
1447182849,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1696074,PLANT03,PORT09,591,2.574953042
1447204816,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1696074,PLANT03,PORT09,4388,38.84846595
1447219750,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1696074,PLANT03,PORT09,1286,8.879148422
1447223869,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1696074,PLANT03,PORT09,917,5.327489053
1447264564,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1696075,PLANT03,PORT09,2233,10.65702872
1447162473,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1680210,PLANT03,PORT09,1322,1.979823806
1447317246,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1680210,PLANT03,PORT09,3310,5.939471417
1447339826,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1680210,PLANT03,PORT09,5319,9.899119029
1447162475,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,3138,46.17504587
1447278595,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,2080,34.06
1447298057,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,2048,31.9
1447343088,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,2079,27.86
1447205063,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,4621,74.46
1447152911,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,4645,68.46
1447339828,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,1760,25.98
1447137128,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,3207,48.68
1447137143,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,3133,45.58
1447182912,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1654766,PLANT03,PORT09,3123,43.02
1447269562,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1683293,PLANT03,PORT09,248,0.136165135
1447182786,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1678493,PLANT03,PORT09,2123,17.48221756
1447182913,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1678493,PLANT03,PORT09,2047,16.48221756
1447137129,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1678493,PLANT03,PORT09,1330,9.489330538
1447162476,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1678493,PLANT03,PORT09,3197,28.9715481
1447145414,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1678493,PLANT03,PORT09,3890,34.96443513
1447299554,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1678493,PLANT03,PORT09,2079,17.48221756
1447137144,5/31/2013,PORT04,V444_1,1,DTD,3,0,V5555555_19,1678493,PLANT03,PORT09,2039,16.48221756
