order_id,order_date,origin_port,carrier,TPT,service_level,ship_ahead_day_count,ship_late_day_count,customer,product_id,plant_code,destination_port,unit_quantity,weight
1447146579,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1669409,PLANT03,PORT09,3455,23.82
1447224312,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1669409,PLANT03,PORT09,2046,10.86
1447300170,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1669409,PLANT03,PORT09,2036,10.98
1447230010,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,326,0.486026954
1447146696,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,368,1.056580335
1447281298,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,385,0.707908825
1447173857,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,373,1.193935779
1447173859,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,426,1.056580335
1447423153,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,543,2.430134771
1447162913,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,245,0.105658034
1447229945,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,356,1.056580335
1447418347,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,688,3.888215633
1447230009,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,387,1.056580335
1447146695,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,384,1.056580335
1447423145,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,464,1.95467362
1447204334,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,522,2.261081917
1447164217,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,404,0.993185515
1447229946,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,335,0.950922302
1447254418,5/30/2013,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,454,1.817318176
